date,pnl
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-06,-72.886352829475
2017-11-07,-52.500000000000
2017-11-08,-97.500000000000
2017-11-09,105.000000000000
2017-11-10,93.750000000000
2017-11-13,-161.250000000000
2017-11-14,7.500000000000
2017-11-15,-180.000000000000
2017-11-16,270.000000000000
2017-11-17,93.750000000000
2017-11-20,-3.750000000000
2017-11-21,19.743851131025
2017-11-22,0E-12
2017-11-23,0E-12
2017-11-24,0E-12
2017-11-27,0E-12
2017-11-28,0E-12
2017-11-29,0E-12
2017-11-30,0E-12
2017-12-01,0E-12
2017-12-04,0E-12
2017-12-05,0E-12
2017-12-06,0E-12
2017-12-07,0E-12
2017-12-08,0E-12
2017-12-11,0E-12
2017-12-12,0E-12
2017-12-13,0E-12
2017-12-14,0E-12
2017-12-15,0E-12
2017-12-18,0E-12
2017-12-19,0E-12
2017-12-20,0E-12
2017-12-21,0E-12
2017-12-22,0E-12
2017-12-26,-72.447366137350
2017-12-27,-191.250000000000
2017-12-28,273.750000000000
2017-12-29,-63.750000000000
2018-01-01,-33.750000000000
2018-01-02,-33.750000000000
2018-01-03,26.250000000000
2018-01-04,45.000000000000
2018-01-05,60.000000000000
2018-01-08,0.277499185175
2018-01-09,0E-12
2018-01-10,0E-12
2018-01-11,0E-12
2018-01-12,0E-12
2018-01-15,0E-12
2018-01-16,0E-12
2018-01-17,0E-12
2018-01-18,0E-12
2018-01-19,0E-12
2018-01-22,0E-12
2018-01-23,0E-12
2018-01-24,0E-12
2018-01-25,0E-12
2018-01-29,0E-12
2018-01-30,0E-12
2018-01-31,0E-12
2018-02-01,0E-12
2018-02-02,0E-12
2018-02-05,0E-12
2018-02-06,0E-12
2018-02-07,0E-12
2018-02-08,0E-12
2018-02-09,0E-12
2018-02-12,0E-12
2018-02-14,0E-12
2018-02-15,0E-12
2018-02-16,0E-12
2018-02-19,0E-12
2018-02-20,0E-12
2018-02-21,0E-12
2018-02-22,0E-12
2018-02-23,0E-12
2018-02-26,-77.293145059975
2018-02-27,15.000000000000
2018-02-28,-11.250000000000
2018-03-01,-97.500000000000
2018-03-05,-93.750000000000
2018-03-06,-353.432095410925
2018-03-07,0E-12
2018-03-08,0E-12
2018-03-09,0E-12
2018-03-12,0E-12
2018-03-13,0E-12
2018-03-14,0E-12
2018-03-15,0E-12
2018-03-16,0E-12
2018-03-19,0E-12
2018-03-20,0E-12
2018-03-21,0E-12
2018-03-22,0E-12
2018-03-23,0E-12
2018-03-26,0E-12
2018-03-27,0E-12
2018-03-28,0E-12
2018-04-02,-73.129224721675
2018-04-03,33.750000000000
2018-04-04,-172.500000000000
2018-04-05,209.412508054775
2018-04-06,0E-12
2018-04-09,0E-12
2018-04-10,0E-12
2018-04-11,0E-12
2018-04-12,0E-12
2018-04-13,0E-12
2018-04-16,0E-12
2018-04-17,0E-12
2018-04-18,0E-12
2018-04-19,0E-12
2018-04-20,0E-12
2018-04-23,0E-12
2018-04-24,0E-12
2018-04-25,0E-12
2018-04-26,0E-12
2018-04-27,0E-12
2018-04-30,-73.112866852450
2018-05-02,-15.000000000000
2018-05-03,-18.750000000000
2018-05-04,-52.500000000000
2018-05-07,-1.497840491050
2018-05-08,-15.000000000000
2018-05-09,7.500000000000
2018-05-10,-3.750000000000
2018-05-11,93.750000000000
2018-05-14,63.750000000000
2018-05-15,-22.048481714225
2018-05-16,0E-12
2018-05-17,0E-12
2018-05-18,0E-12
2018-05-21,0E-12
2018-05-22,0E-12
2018-05-23,0E-12
2018-05-24,0E-12
2018-05-25,0E-12
2018-05-28,0E-12
2018-05-29,0E-12
2018-05-30,0E-12
2018-05-31,0E-12
2018-06-01,0E-12
2018-06-04,-77.227713583075
2018-06-05,-3.750000000000
2018-06-06,116.250000000000
2018-06-07,-7.479952953175
2018-06-08,0E-12
2018-06-11,0E-12
2018-06-12,0E-12
2018-06-13,0E-12
2018-06-14,0E-12
2018-06-15,0E-12
2018-06-18,0E-12
2018-06-19,0E-12
2018-06-20,0E-12
2018-06-21,0E-12
2018-06-22,0E-12
2018-06-25,0E-12
2018-06-26,0E-12
2018-06-27,0E-12
2018-06-28,0E-12
2018-06-29,0E-12
2018-07-02,-77.020053575500
2018-07-03,165.000000000000
2018-07-04,-26.548562799175
2018-07-05,0E-12
2018-07-06,0E-12
2018-07-09,0E-12
2018-07-10,0E-12
2018-07-11,0E-12
2018-07-12,0E-12
2018-07-13,0E-12
2018-07-16,0E-12
2018-07-17,0E-12
2018-07-18,0E-12
2018-07-19,0E-12
2018-07-20,0E-12
2018-07-23,0E-12
2018-07-24,0E-12
2018-07-25,0E-12
2018-07-26,0E-12
2018-07-27,0E-12
2018-07-30,-73.045298490925
2018-07-31,-11.250000000000
2018-08-01,41.250000000000
2018-08-02,-60.000000000000
2018-08-03,67.500000000000
2018-08-06,-68.653625398900
2018-08-07,3.750000000000
2018-08-08,30.000000000000
2018-08-09,52.500000000000
2018-08-10,-3.750000000000
2018-08-13,-41.250000000000
2018-08-14,49.375449154250
2018-08-16,-18.750000000000
2018-08-17,15.656387269625
2018-08-20,0E-12
2018-08-21,0E-12
2018-08-23,0E-12
2018-08-24,0E-12
2018-08-27,0E-12
2018-08-28,0E-12
2018-08-29,0E-12
2018-08-30,0E-12
2018-08-31,0E-12
2018-09-03,0E-12
2018-09-04,0E-12
2018-09-05,0E-12
2018-09-06,0E-12
2018-09-07,0E-12
2018-09-10,0E-12
2018-09-11,0E-12
2018-09-12,0E-12
2018-09-14,0E-12
2018-09-17,0E-12
2018-09-18,0E-12
2018-09-19,0E-12
2018-09-21,0E-12
2018-09-24,0E-12
2018-09-25,0E-12
2018-09-26,0E-12
2018-09-27,0E-12
2018-09-28,0E-12
2018-10-01,-81.498470936650
2018-10-03,557.751774879425
2018-10-04,0E-12
2018-10-05,0E-12
2018-10-08,0E-12
2018-10-09,0E-12
2018-10-10,0E-12
2018-10-11,0E-12
2018-10-12,0E-12
2018-10-15,0E-12
2018-10-16,0E-12
2018-10-17,0E-12
2018-10-19,0E-12
2018-10-22,0E-12
2018-10-23,0E-12
2018-10-24,0E-12
2018-10-25,0E-12
2018-10-26,0E-12
2018-10-29,0E-12
2018-10-30,0E-12
2018-10-31,0E-12
2018-11-01,0E-12
2018-11-02,0E-12
2018-11-05,-77.070186283150
2018-11-06,120.000000000000
2018-11-09,26.050463885375
2018-11-12,0E-12
2018-11-13,0E-12
2018-11-14,0E-12
2018-11-15,0E-12
2018-11-16,0E-12
2018-11-19,0E-12
2018-11-20,0E-12
2018-11-21,0E-12
2018-11-22,0E-12
2018-11-26,0E-12
2018-11-27,0E-12
2018-11-28,0E-12
2018-11-29,0E-12
2018-11-30,0E-12
2018-12-03,-81.620105198200
2018-12-04,15.000000000000
2018-12-05,60.000000000000
2018-12-06,-273.750000000000
2018-12-07,176.250000000000
2018-12-10,-375.000000000000
2018-12-11,281.250000000000
2018-12-12,209.512792154750
2018-12-13,0E-12
2018-12-14,0E-12
2018-12-17,0E-12
2018-12-18,0E-12
2018-12-19,0E-12
2018-12-20,0E-12
2018-12-21,0E-12
2018-12-24,0E-12
2018-12-26,0E-12
2018-12-27,0E-12
2018-12-28,0E-12
2018-12-31,-81.535640075125
2019-01-01,60.000000000000
2019-01-02,-161.250000000000
2019-01-03,-345.095432536000
2019-01-04,0E-12
2019-01-07,0E-12
2019-01-08,0E-12
2019-01-09,0E-12
2019-01-10,0E-12
2019-01-11,0E-12
2019-01-14,0E-12
2019-01-15,0E-12
2019-01-16,0E-12
2019-01-17,0E-12
2019-01-18,0E-12
2019-01-21,0E-12
2019-01-22,0E-12
2019-01-23,0E-12
2019-01-24,0E-12
2019-01-25,0E-12
2019-01-28,0E-12
2019-01-29,0E-12
2019-01-30,0E-12
2019-01-31,0E-12
2019-02-01,0E-12
2019-02-04,-77.127788744650
2019-02-05,82.500000000000
2019-02-06,-27.033067852825
2019-02-07,0E-12
2019-02-08,0E-12
2019-02-11,0E-12
2019-02-12,0E-12
2019-02-13,0E-12
2019-02-14,0E-12
2019-02-15,0E-12
2019-02-18,0E-12
2019-02-19,0E-12
2019-02-20,0E-12
2019-02-21,0E-12
2019-02-22,0E-12
2019-02-25,0E-12
2019-02-26,0E-12
2019-02-27,0E-12
2019-02-28,0E-12
2019-03-01,0E-12
2019-03-05,-77.240336575375
2019-03-06,45.000000000000
2019-03-07,56.250000000000
2019-03-08,22.051899862400
2019-03-11,0E-12
2019-03-12,0E-12
2019-03-13,0E-12
2019-03-14,0E-12
2019-03-15,0E-12
2019-03-18,0E-12
2019-03-19,0E-12
2019-03-20,0E-12
2019-03-22,0E-12
2019-03-25,0E-12
2019-03-26,0E-12
2019-03-27,0E-12
2019-03-28,0E-12
2019-03-29,0E-12
2019-04-01,0E-12
2019-04-02,0E-12
2019-04-03,0E-12
2019-04-04,0E-12
2019-04-05,0E-12
2019-04-08,0E-12
2019-04-09,0E-12
2019-04-10,0E-12
2019-04-11,0E-12
2019-04-12,0E-12
2019-04-15,0E-12
2019-04-16,0E-12
2019-04-18,0E-12
2019-04-22,0E-12
2019-04-23,0E-12
2019-04-24,0E-12
2019-04-25,0E-12
2019-04-26,0E-12
2019-04-30,0E-12
2019-05-02,0E-12
2019-05-03,0E-12
2019-05-06,0E-12
2019-05-07,0E-12
2019-05-08,0E-12
2019-05-09,0E-12
2019-05-10,0E-12
2019-05-13,0E-12
2019-05-14,0E-12
2019-05-15,0E-12
2019-05-16,0E-12
2019-05-17,0E-12
2019-05-20,0E-12
2019-05-21,0E-12
2019-05-22,0E-12
2019-05-23,0E-12
2019-05-24,0E-12
2019-05-27,-81.690491598100
2019-05-28,425.645463685925
2019-05-29,0E-12
2019-05-30,0E-12
2019-05-31,0E-12
2019-06-03,-77.658351052150
2019-06-04,-22.500000000000
2019-06-06,123.750000000000
2019-06-07,9.092728870850
2019-06-10,0E-12
2019-06-11,0E-12
2019-06-12,0E-12
2019-06-13,0E-12
2019-06-14,0E-12
2019-06-17,0E-12
2019-06-18,0E-12
2019-06-19,0E-12
2019-06-20,0E-12
2019-06-21,0E-12
2019-06-24,0E-12
2019-06-25,0E-12
2019-06-26,0E-12
2019-06-27,0E-12
2019-06-28,0E-12
2019-07-01,-77.337424690750
2019-07-02,78.750000000000
2019-07-03,-15.000000000000
2019-07-04,142.115553716225
2019-07-05,0E-12
2019-07-08,0E-12
2019-07-09,0E-12
2019-07-10,0E-12
2019-07-11,0E-12
2019-07-12,0E-12
2019-07-15,0E-12
2019-07-16,0E-12
2019-07-17,0E-12
2019-07-18,0E-12
2019-07-19,0E-12
2019-07-22,-69.022442691250
2019-07-23,-18.750000000000
2019-07-24,266.250000000000
2019-07-25,52.500000000000
2019-07-26,261.627152839550
2019-07-29,-77.152873783150
2019-07-30,-18.750000000000
2019-07-31,131.250000000000
2019-08-01,-93.750000000000
2019-08-02,-210.000000000000
2019-08-05,-21.182555552275
2019-08-06,213.750000000000
2019-08-07,253.820750670275
2019-08-08,517.500000000000
2019-08-09,0E-12
2019-08-13,-285.000000000000
2019-08-14,266.250000000000
2019-08-16,37.500000000000
2019-08-19,-15.000000000000
2019-08-20,48.750000000000
2019-08-21,-63.750000000000
2019-08-22,-555.158888074375
2019-08-23,0E-12
2019-08-26,-86.596065920875
2019-08-27,858.750000000000
2019-08-28,-911.250000000000
2019-08-29,105.000000000000
2019-08-30,198.750000000000
2019-09-03,-11.250000000000
2019-09-04,-18.750000000000
2019-09-05,312.410313778700
2019-09-06,0E-12
2019-09-09,0E-12
2019-09-11,0E-12
2019-09-12,0E-12
2019-09-13,0E-12
2019-09-16,0E-12
2019-09-17,0E-12
2019-09-18,0E-12
2019-09-19,0E-12
2019-09-20,0E-12
2019-09-23,0E-12
2019-09-24,0E-12
2019-09-25,0E-12
2019-09-26,0E-12
2019-09-27,0E-12
